catalog_id,year,review_type,icd11_pain_category,bps_mention_location,bps_function,bio_mentioned,psych_mentioned,social_mentioned,title
1,,scoping or mapping review,chronic secondary musculoskeletal pain,title,organizing,no,no,no,Identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a biop...
2,,network meta-analysis,chronic secondary musculoskeletal pain,title,intervention,no,no,no,Effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term Pain and Disability in Chronic Low Back Pai...
3,2026.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,no,no,yes,Dual Experience and Management of Pain in Older Adults and Their Caregivers.
4,2025.0,systematic review,mixed or unspecified chronic pain,abstract,background,no,yes,yes,Chronic pain in European adult populations: a systematic review of prevalence and associated clinical features.
5,2025.0,scoping or mapping review,mixed or unspecified chronic pain,abstract,background,no,yes,no,Conversational Agents to Support Pain Management: A Scoping Review.
6,2025.0,systematic review,chronic secondary musculoskeletal pain,title,organizing,no,yes,yes,Biopsychosocial and physical factors associated with firefighter musculoskeletal disorders: a systematic review.
7,2025.0,systematic review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,yes,Social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative st...
8,2025.0,systematic review,chronic primary pain,abstract,intervention,yes,no,no,Advances in Our Understanding and Treatment of Nociplastic Pain.
9,2025.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,no,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.
10,2025.0,scoping or mapping review,mixed or unspecified chronic pain,abstract,intervention,no,yes,no,Existential therapy for treating chronic pain: A scoping review.
11,2024.0,narrative or expert review,chronic neuropathic pain,abstract,intervention,yes,no,no,A clinical approach to the investigation and management of long COVID associated neuropathic pain.
12,2024.0,systematic review,chronic secondary headache or orofacial pain,abstract,rhetorical,no,yes,yes,Etiologic Factors of Temporomandibular Disorders: A Systematic Review of Literature Containing Diagnostic Criteria fo...
13,2024.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,yes,Construction of the chronic temporomandibular disorder patients: the association between neural and psychological pat...
14,2024.0,meta-analysis,chronic secondary musculoskeletal pain,abstract,unclear,no,no,yes,Is educational attainment associated with the onset and outcomes of low back pain? a systematic review and meta-analy...
15,2024.0,scoping or mapping review,chronic primary pain,abstract,organizing,yes,yes,yes,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.
16,2024.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,no,no,Deciphering pain: molecular mechanisms and neurochemical pathways-challenges and future opportunities.
17,2024.0,systematic review,chronic secondary musculoskeletal pain,abstract,intervention,yes,yes,no,Effectiveness of Physical Activity in the Management of Nonspecific Low Back Pain: A Systematic Review.
18,2023.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,explanatory,no,no,yes,The biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization.
19,2023.0,narrative or expert review,mixed or unspecified chronic pain,title+abstract,explanatory,yes,yes,yes,The Experience of BIPOC Living with Chronic Pain in the USA: Biopsychosocial Factors that Underlie Racial Disparities...
20,2023.0,narrative or expert review,chronic secondary visceral pain,abstract,background,yes,no,no,Management of Pelvic Pain in Patients with Crohn's Disease-Current Overview.
21,2023.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,no,yes,no,Top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain Management for Persistent Pain.
22,2023.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,intervention,yes,yes,yes,Diagnosis and Management of Cyclic Vomiting Syndrome: A Critical Review.
23,2023.0,systematic review,chronic secondary visceral pain,abstract,intervention,no,no,no,Evaluation and Medical Management of Chronic Pelvic Pain.
24,2023.0,narrative or expert review,mixed or unspecified chronic pain,abstract,organizing,no,no,no,Clinical Diagnosis and Treatment of Chronic Pain.
25,2023.0,narrative or expert review,chronic neuropathic pain,abstract,rhetorical,yes,no,no,Aerobic Exercise and Neuropathic Pain: Insights from Animal Models and Implications for Human Therapy.
26,2022.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,no,Toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems.
27,2022.0,narrative or expert review,chronic secondary visceral pain,abstract,organizing,yes,no,no,Persistent Pelvic Pain in Patients With Endometriosis.
28,2022.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,intervention,yes,yes,yes,Biopsychosocial approach to tendinopathy.
29,2022.0,systematic review,chronic secondary musculoskeletal pain,abstract,intervention,no,yes,yes,Pain Education in the Management of Patients with Chronic Low Back Pain: A Systematic Review.
30,2021.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,no,no,no,"Pain Management in Neurosurgery: Back and Lower Extremity Pain, Trigeminal Neuralgia."
31,2021.0,systematic review,chronic secondary headache or orofacial pain,abstract,intervention,yes,yes,yes,An updated brief overview on post-traumatic headache and a systematic review of the non-pharmacological interventions...
32,2021.0,systematic review,chronic secondary musculoskeletal pain,abstract,background,no,yes,no,"Religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs, Function, and Coping in Chronic Musculoske..."
33,2020.0,systematic review,chronic secondary musculoskeletal pain,title+abstract,intervention,no,no,no,Physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pa...
34,2020.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,justification,no,no,yes,"Treating Temporomandibular Disorders in the 21st Century: Can We Finally Eliminate the ""Third Pathway""?"
35,2020.0,meta-analysis,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,Effectiveness of walking versus mind-body therapies in chronic low back pain: A systematic review and meta-analysis o...
36,2020.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,Six things you need to know about low back pain.
37,2020.0,scoping or mapping review,chronic secondary headache or orofacial pain,title,organizing,no,yes,yes,Mapping Assessments Instruments for Headache Disorders against the ICF Biopsychosocial Model of Health and Disability.
38,2019.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,yes,yes,no,Pain therapy for the elderly patient: is opioid-free an option?
39,2019.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,Low back pain: Moving toward mechanism-based management.
40,2019.0,narrative or expert review,chronic postsurgical or posttraumatic pain,title,explanatory,yes,yes,no,Where has the 'bio' in bio-psycho-social gone?
41,2019.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,The Evolving Case Supporting Individualised Physiotherapy for Low Back Pain.
42,2019.0,systematic review,mixed or unspecified chronic pain,abstract,background,yes,yes,yes,Acupuncture for the Relief of Chronic Pain: A Synthesis of Systematic Reviews.
43,2019.0,systematic review,chronic primary pain,abstract,conclusion,no,yes,yes,Group Psychotherapy With Fibromyalgia Patients: A Systematic Review.
44,2018.0,systematic review,mixed or unspecified chronic pain,title+abstract,explanatory,yes,yes,no,"Pain, aging and dementia: Towards a biopsychosocial model."
45,2018.0,systematic review,chronic secondary musculoskeletal pain,abstract,intervention,yes,yes,yes,The Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck...
46,2018.0,narrative or expert review,mixed or unspecified chronic pain,abstract,rhetorical,yes,no,yes,Neuroimaging of Pain: Human Evidence and Clinical Relevance of Central Nervous System Processes and Modulation.
47,2018.0,systematic review,chronic neuropathic pain,abstract,rhetorical,yes,yes,no,Enriched Environment and Effects on Neuropathic Pain: Experimental Findings and Mechanisms.
48,2018.0,narrative or expert review,mixed or unspecified chronic pain,abstract,background,yes,no,no,Key Components of Pain Management for Children and Adults with Sickle Cell Disease.
49,2017.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,no,Individual differences in pain: understanding the mosaic that makes pain personal.
50,2017.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,organizing,no,no,no,Diagnostic triage for low back pain: a practical approach for primary care.
51,2017.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,intervention,yes,yes,yes,Exercise for chronic musculoskeletal pain: A biopsychosocial approach.
52,2017.0,systematic review,chronic secondary musculoskeletal pain,abstract,explanatory,no,no,yes,Predictors of Osteoarthritis Pain: the Importance of Resilience.
53,2016.0,narrative or expert review,chronic primary pain,abstract,intervention,yes,yes,yes,Current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms.
54,2016.0,narrative or expert review,mixed or unspecified chronic pain,abstract,organizing,no,yes,no,"Chronic Pain Management: An Overview of Taxonomy, Conditions Commonly Encountered, and Assessment."
55,2016.0,narrative or expert review,mixed or unspecified chronic pain,title+abstract,intervention,no,yes,no,Biopsychosocial Approach to Assessing and Managing Patients with Chronic Pain.
56,2016.0,systematic review,chronic postsurgical or posttraumatic pain,abstract,explanatory,no,yes,yes,Chronic Pain Following Motor Vehicle Collision: A Systematic Review of Outcomes Associated With Seeking or Receiving...
57,2016.0,meta-analysis,mixed or unspecified chronic pain,abstract,rhetorical,no,no,no,Acute analgesic effects of nicotine and tobacco in humans: a meta-analysis.
58,2016.0,systematic review,mixed or unspecified chronic pain,abstract,explanatory,no,yes,no,Reward deficiency and anti-reward in pain chronification.
59,2016.0,systematic review,chronic secondary headache or orofacial pain,abstract,intervention,no,yes,no,Chronic/Persistent Idiopathic Facial Pain.
60,2016.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,no,"Chronic Pain and Mental Health Disorders: Shared Neural Mechanisms, Epidemiology, and Treatment."
61,2016.0,narrative or expert review,mixed or unspecified chronic pain,title+abstract,organizing,yes,yes,yes,Clinical biopsychosocial physiotherapy assessment of patients with chronic pain: The first step in pain neuroscience...
62,2016.0,narrative or expert review,mixed or unspecified chronic pain,abstract,rhetorical,no,no,no,Allogeneic stem cell transplantation for sickle cell disease.
63,2015.0,systematic review,chronic secondary musculoskeletal pain,abstract,explanatory,yes,yes,yes,Addressing Neuroplastic Changes in Distributed Areas of the Nervous System Associated With Chronic Musculoskeletal Di...
64,2015.0,narrative or expert review,mixed or unspecified chronic pain,title+abstract,intervention,yes,yes,no,"Goal-Directed Resilience in Training (GRIT): A Biopsychosocial Model of Self-Regulation, Executive Functions, and Per..."
65,2015.0,narrative or expert review,chronic postsurgical or posttraumatic pain,abstract,intervention,no,yes,yes,An update on the management of post-traumatic headache.
66,2014.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,intervention,no,yes,yes,Orofacial pain: a guide for the headache physician.
67,2014.0,systematic review,chronic secondary musculoskeletal pain,abstract,intervention,no,yes,no,"Are depression, anxiety and poor mental health risk factors for knee pain? A systematic review."
68,2014.0,systematic review,mixed or unspecified chronic pain,title+abstract,organizing,yes,yes,no,Adherence monitoring with chronic opioid therapy for persistent pain: a biopsychosocial-spiritual approach to mitigat...
69,2014.0,narrative or expert review,chronic cancer-related pain,title+abstract,explanatory,no,yes,yes,The biopsychosocial model in cancer pain.
70,2014.0,narrative or expert review,chronic secondary visceral pain,abstract,explanatory,yes,yes,yes,"Pediatric IBS: an overview on pathophysiology, diagnosis and treatment."
71,2014.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,explanatory,yes,yes,yes,Chronic musculoskeletal pain: review of mechanisms and biochemical biomarkers as assessed by the microdialysis techni...
72,2014.0,narrative or expert review,mixed or unspecified chronic pain,abstract,rhetorical,no,yes,yes,How to investigate: Chronic pain.
73,2013.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,yes,yes,no,Evidence-based approach to manage persistent wound-related pain.
74,2013.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,yes,yes,no,The development of chronic pain: physiological CHANGE necessitates a multidisciplinary approach to treatment.
75,2013.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,no,The importance of psychological assessment in chronic pain.
76,2013.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,rhetorical,no,no,no,Oral surgery: part 3. Temporomandibular disorders.
77,2012.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,intervention,yes,yes,yes,Chronic daily headache in children and adolescents.
78,2012.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,no,yes,yes,Medically unexplained symptoms and pain: misunderstanding and myth.
79,2012.0,meta-analysis,chronic secondary headache or orofacial pain,abstract,rhetorical,no,yes,yes,"A critical review of Dr. Charles S. Greene's article titled ""Managing the Care of Patients with Temporomandibular Dis..."
80,2012.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,justification,yes,no,yes,The classification and differential diagnosis of orofacial pain.
81,2012.0,systematic review,chronic secondary musculoskeletal pain,abstract,intervention,yes,no,no,A neuroscience approach to managing athletes with low back pain.
82,2012.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,yes,no,yes,Improving work participation for adults with musculoskeletal conditions.
83,2011.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,yes,yes,Joint hypermobility syndrome: problems that require psychological intervention.
84,2010.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,no,no,"Unravelling the mystery of pain, suffering, and relief with brain imaging."
85,2009.0,systematic review,chronic secondary musculoskeletal pain,title+abstract,intervention,no,yes,yes,WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.
86,2009.0,systematic review,chronic secondary headache or orofacial pain,abstract,intervention,yes,yes,yes,Behavioral medicine for migraine.
87,2009.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,no,yes,no,Early stress response: a vulnerability framework for functional impairment following mild traumatic brain injury.
88,2008.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,no,yes,yes,Chronic nonmalignant pain: a challenge for patients and clinicians.
89,2007.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,explanatory,yes,yes,no,Management of musculoskeletal pain.
90,2007.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,explanatory,yes,yes,no,Psychological risk factors in headache.
91,2007.0,meta-analysis,chronic secondary musculoskeletal pain,abstract,intervention,yes,no,no,The impact of neuropathic pain on health-related quality of life: review and implications.
92,2007.0,narrative or expert review,mixed or unspecified chronic pain,title+abstract,explanatory,no,yes,yes,The biopsychosocial approach to chronic pain: scientific advances and future directions.
93,2006.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,explanatory,no,yes,yes,Preventing incapacity in people with musculoskeletal disorders.
94,2006.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,no,yes,Back injuries--getting injured workers back to work.
95,2003.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,yes,yes,yes,The management of persistent pain.
96,2003.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,explanatory,no,yes,yes,Psychosocial therapies for neck pain.
97,2002.0,narrative or expert review,chronic postsurgical or posttraumatic pain,abstract,intervention,no,no,yes,Prevention of chronic pain after whiplash.
98,2001.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,explanatory,yes,yes,no,Determinants of chronic disability related to low back pain: towards an integrative biopsychosocial model.
99,2000.0,narrative or expert review,mixed or unspecified chronic pain,abstract,rhetorical,yes,no,no,Pain and suffering.
100,2000.0,systematic review,chronic secondary musculoskeletal pain,title+abstract,intervention,no,yes,yes,Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.
101,2000.0,narrative or expert review,mixed or unspecified chronic pain,title+abstract,explanatory,no,no,yes,The biopsychosocial model--a tool for rheumatologists.
102,2000.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,yes,yes,yes,Care of the patient with chronic pain: part II.
103,1999.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,explanatory,no,yes,yes,From bite to mind: TMD--a personal and literature review.
104,1999.0,narrative or expert review,mixed or unspecified chronic pain,abstract,organizing,yes,yes,yes,Care of the patient with chronic pain: Part I.
105,1998.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,rhetorical,no,no,no,Psychiatric problems in chronic facial pain.
106,1996.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,explanatory,no,no,yes,The biopsychosocial disease consequence model in rehabilitation: model development in the Finnish 'work hardening' pr...
107,1996.0,narrative or expert review,chronic secondary visceral pain,abstract,explanatory,no,no,no,Chronic pelvic pain.
108,1994.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,explanatory,no,yes,no,Pain and suffering: what is the unit?
109,1992.0,narrative or expert review,chronic secondary musculoskeletal pain,title,unclear,no,no,no,Biopsychosocial analysis of low back pain.
110,1990.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,explanatory,yes,yes,no,A biopsychosocial approach to TMJ pain--or looking for keys in the dark.
111,1990.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,yes,The premenstrual syndrome.
