record_id,year,review_type,bio_psych,bio_social,psych_social,triadic_product
pubmed_10908542,2000.0,systematic review,0.1104,0.1127,0.1102,0.037
pubmed_19160209,2009.0,systematic review,0.1107,0.1125,0.1101,0.037
pubmed_40170347,2025.0,scoping or mapping review,0.114,0.1061,0.113,0.037
pubmed_28371175,2017.0,narrative or expert review,0.1171,0.1097,0.1063,0.0369
pubmed_35434749,2022.0,narrative or expert review,0.119,0.1107,0.103,0.0368
pubmed_7866373,1994.0,narrative or expert review,0.1109,0.1098,0.1126,0.037
pubmed_21373784,2011.0,narrative or expert review,0.1095,0.1122,0.1117,0.037
pubmed_38063895,2024.0,narrative or expert review,0.1169,0.1093,0.1069,0.037
pubmed_29460009,2018.0,systematic review,0.1102,0.1151,0.108,0.037
pubmed_20425201,2010.0,narrative or expert review,0.122,0.1066,0.1039,0.0368
pubmed_22102156,2012.0,narrative or expert review,0.1196,0.1074,0.1058,0.0369
pubmed_36527589,2023.0,narrative or expert review,0.1133,0.1095,0.1105,0.037
pubmed_28752491,2017.0,systematic review,0.1162,0.1056,0.1113,0.037
pubmed_33563380,2021.0,narrative or expert review,0.1181,0.1123,0.1024,0.0368
pubmed_17350550,2007.0,narrative or expert review,0.1189,0.1085,0.1055,0.0369
pubmed_23218435,2012.0,narrative or expert review,0.1055,0.1161,0.1115,0.037
pubmed_26096090,2014.0,narrative or expert review,0.1195,0.1054,0.1079,0.0369
pubmed_41271285,2026.0,narrative or expert review,0.115,0.1064,0.1117,0.037
pubmed_30594766,2019.0,narrative or expert review,0.117,0.1103,0.1057,0.0369
pubmed_29729787,2018.0,narrative or expert review,0.1137,0.1116,0.108,0.037
WOS:000453643300005,,scoping or mapping review,0.1095,0.1119,0.1118,0.037
pubmed_27344405,2016.0,narrative or expert review,0.1191,0.1063,0.1076,0.0369
pubmed_26614718,2016.0,narrative or expert review,0.1166,0.107,0.1096,0.037
pubmed_26614715,2016.0,narrative or expert review,0.1208,0.1062,0.1056,0.0368
pubmed_19289225,2009.0,systematic review,0.1221,0.1055,0.105,0.0368
pubmed_40675665,2025.0,systematic review,0.1221,0.1113,0.0987,0.0366
pubmed_27325001,2016.0,systematic review,0.1204,0.1041,0.1082,0.0368
pubmed_27246519,2016.0,systematic review,0.118,0.1075,0.1076,0.0369
pubmed_24602442,2014.0,systematic review,0.1151,0.1075,0.1106,0.037
pubmed_28947182,2018.0,systematic review,0.1174,0.1073,0.1083,0.0369
pubmed_22814445,2012.0,systematic review,0.1197,0.1095,0.1036,0.0368
pubmed_1477890,1992.0,narrative or expert review,0.1127,0.1121,0.1085,0.037
pubmed_12948346,2003.0,narrative or expert review,0.1176,0.1057,0.1096,0.0369
pubmed_17592957,2007.0,narrative or expert review,0.1201,0.1072,0.1056,0.0369
pubmed_18235536,2008.0,narrative or expert review,0.12,0.1038,0.1089,0.0368
pubmed_24113949,2013.0,narrative or expert review,0.1145,0.1101,0.1086,0.037
pubmed_11092802,2000.0,narrative or expert review,0.1147,0.1106,0.1078,0.037
pubmed_37575343,2023.0,systematic review,0.1174,0.1073,0.1084,0.037
pubmed_32988440,2020.0,narrative or expert review,0.1115,0.1112,0.1106,0.037
pubmed_27351769,2016.0,narrative or expert review,0.1193,0.107,0.1067,0.0369
pubmed_35645164,2023.0,narrative or expert review,0.1153,0.1098,0.1082,0.037
pubmed_11762878,2001.0,narrative or expert review,0.1127,0.1088,0.1117,0.037
pubmed_33682560,2021.0,systematic review,0.1198,0.1055,0.1074,0.0369
pubmed_36706441,2023.0,narrative or expert review,0.1177,0.1045,0.1108,0.0369
pubmed_16968689,2006.0,narrative or expert review,0.108,0.1144,0.1108,0.037
pubmed_40418249,2025.0,systematic review,0.1096,0.1121,0.1116,0.037
pubmed_10870733,2000.0,narrative or expert review,0.1173,0.1073,0.1085,0.037
pubmed_2181358,1990.0,narrative or expert review,0.1175,0.1072,0.1085,0.037
pubmed_30520741,2019.0,narrative or expert review,0.1175,0.1074,0.1081,0.0369
pubmed_26889614,2016.0,systematic review,0.1119,0.1095,0.112,0.037
pubmed_29494401,2018.0,narrative or expert review,0.1233,0.1082,0.1008,0.0367
pubmed_35467583,2022.0,narrative or expert review,0.1194,0.1072,0.1063,0.0369
pubmed_27023418,2016.0,meta-analysis,0.1172,0.1091,0.1068,0.0369
pubmed_27902569,2017.0,narrative or expert review,0.1175,0.1065,0.109,0.0369
pubmed_31977935,2020.0,systematic review,0.1145,0.1082,0.1105,0.037
pubmed_40101218,2025.0,systematic review,0.1147,0.1073,0.1112,0.037
pubmed_32871946,2020.0,meta-analysis,0.1177,0.1061,0.1094,0.0369
pubmed_27496639,2016.0,narrative or expert review,0.1093,0.1158,0.1081,0.037
pubmed_24080806,2013.0,narrative or expert review,0.1183,0.1008,0.1135,0.0368
pubmed_24690764,2014.0,narrative or expert review,0.1176,0.1066,0.1088,0.0369
pubmed_30893103,2019.0,narrative or expert review,0.1206,0.1074,0.1048,0.0368
pubmed_22406986,2012.0,narrative or expert review,0.1202,0.1044,0.1082,0.0368
pubmed_23314014,2013.0,narrative or expert review,0.1195,0.106,0.1074,0.0369
pubmed_26148424,2016.0,narrative or expert review,0.1203,0.1086,0.1038,0.0368
pubmed_41268985,2025.0,scoping or mapping review,0.1157,0.1018,0.1152,0.0369
pubmed_41105043,2025.0,narrative or expert review,0.1238,0.1071,0.1013,0.0366
pubmed_24261452,2014.0,narrative or expert review,0.1162,0.1068,0.1102,0.037
pubmed_17371358,2007.0,narrative or expert review,0.1188,0.1017,0.1121,0.0368
pubmed_29722923,2018.0,systematic review,0.1157,0.1112,0.1062,0.037
pubmed_35990762,2022.0,narrative or expert review,0.1187,0.1064,0.1079,0.0369
pubmed_12421777,2002.0,narrative or expert review,0.1154,0.1074,0.1104,0.037
pubmed_32870949,2020.0,narrative or expert review,0.1187,0.1072,0.1072,0.0369
pubmed_26600874,2015.0,narrative or expert review,0.1163,0.1068,0.11,0.037
pubmed_22435173,2012.0,meta-analysis,0.1121,0.11,0.1112,0.037
pubmed_23786498,2013.0,narrative or expert review,0.1215,0.1058,0.1054,0.0368
pubmed_24405725,2014.0,systematic review,0.1132,0.1051,0.1148,0.037
pubmed_40624502,2025.0,systematic review,0.1081,0.1096,0.1155,0.037
pubmed_39468650,2024.0,scoping or mapping review,0.1148,0.1097,0.1087,0.037
pubmed_17420400,2007.0,meta-analysis,0.1123,0.1121,0.1089,0.037
pubmed_39137213,2024.0,meta-analysis,0.1086,0.1111,0.1136,0.037
pubmed_36791365,2023.0,narrative or expert review,0.1183,0.1076,0.1071,0.0369
pubmed_22550985,2012.0,narrative or expert review,0.115,0.1107,0.1075,0.037
pubmed_19418887,2009.0,narrative or expert review,0.117,0.1079,0.1083,0.037
pubmed_24966693,2014.0,narrative or expert review,0.1195,0.1121,0.1009,0.0368
pubmed_25953594,2015.0,systematic review,0.1192,0.1136,0.0995,0.0367
pubmed_38754116,2024.0,narrative or expert review,0.122,0.1078,0.1027,0.0368
pubmed_39629040,2024.0,narrative or expert review,0.1248,0.1085,0.0984,0.0365
pubmed_38137395,2023.0,narrative or expert review,0.1192,0.1094,0.1041,0.0369
pubmed_26039013,2015.0,narrative or expert review,0.1168,0.1016,0.1143,0.0368
pubmed_38132273,2023.0,narrative or expert review,0.1194,0.1075,0.106,0.0369
pubmed_38470686,2024.0,systematic review,0.1135,0.1098,0.11,0.037
pubmed_33396262,2020.0,scoping or mapping review,0.109,0.1104,0.1139,0.037
pubmed_36675454,2023.0,narrative or expert review,0.1175,0.1093,0.1064,0.037
WOS:001116314900001,,network meta-analysis,0.1087,0.1155,0.1089,0.037
pubmed_31466408,2019.0,narrative or expert review,0.1142,0.1085,0.1106,0.037
pubmed_36278735,2022.0,systematic review,0.1154,0.1075,0.1103,0.037
pubmed_31878346,2019.0,systematic review,0.1163,0.1087,0.1082,0.037
pubmed_39768944,2024.0,systematic review,0.1118,0.113,0.1085,0.037
pubmed_24716562,2014.0,narrative or expert review,0.1186,0.1084,0.106,0.0369
pubmed_32010899,2019.0,systematic review,0.1152,0.1067,0.1112,0.037
pubmed_12720511,2003.0,narrative or expert review,0.1204,0.1045,0.1078,0.0368
pubmed_28359011,2017.0,narrative or expert review,0.1165,0.108,0.1086,0.037
pubmed_2094850,1990.0,narrative or expert review,0.1158,0.1092,0.1081,0.037
pubmed_17149465,2006.0,narrative or expert review,0.1095,0.112,0.1117,0.037
pubmed_10711057,1999.0,narrative or expert review,0.1158,0.1076,0.1098,0.037
pubmed_11858295,2000.0,narrative or expert review,0.1144,0.1075,0.1113,0.037
pubmed_8940956,1996.0,narrative or expert review,0.1197,0.1059,0.1073,0.0369
pubmed_10635197,1999.0,narrative or expert review,0.1173,0.1061,0.1096,0.0369
pubmed_9927896,1998.0,narrative or expert review,0.1155,0.1039,0.1136,0.0369
pubmed_34793635,2021.0,systematic review,0.1149,0.1057,0.1125,0.037
pubmed_8842824,1996.0,narrative or expert review,0.1094,0.1115,0.1124,0.037
