record_id,title,year,review_type,icd11_pain_category,provisional_typology,conceptual_problem_flags,psychological_concepts_detected,theoretical_frameworks_detected,stage3_priority,fulltext_status,cached_text_path,full_text_available,pain_condition_detail,domain_coverage_bio,domain_coverage_psych,domain_coverage_social,integration_bio_psych,integration_psych_social,integration_bio_social,integration_triadic,integration_mechanism_summary,overall_balance,bps_typology,concept_definitions_present,psychological_concepts_fulltext,theoretical_frameworks_fulltext,conceptual_problems_fulltext,integration_quotes_or_evidence,coder_id,coder_notes,adjudication_status
WOS:001116314900001,Effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term Pain and Disability in Chronic Low Back Pain: A Systematic Review with Network Meta-Analysis,,network meta-analysis,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10707228.txt,,,,,,,,,,,,,,,,,,,,
WOS:000453643300005,Identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a biopsychosocial environment: A scoping review,,scoping or mapping review,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,coping,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_40418249,Biopsychosocial and physical factors associated with firefighter musculoskeletal disorders: a systematic review.,2025.0,systematic review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | stress,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12202764.txt,,,,,,,,,,,,,,,,,,,,
pubmed_40170347,Conversational Agents to Support Pain Management: A Scoping Review.,2025.0,scoping or mapping review,mixed or unspecified chronic pain,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,coping,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11962237.txt,,,,,,,,,,,,,,,,,,,,
pubmed_41105043,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.,2025.0,narrative or expert review,mixed or unspecified chronic pain,pseudo-bps or partial signal,missing_social,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12533558.txt,,,,,,,,,,,,,,,,,,,,
pubmed_40624502,Social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative studies.,2025.0,systematic review,mixed or unspecified chronic pain,potential integrative signal,missing_social,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12235893.txt,,,,,,,,,,,,,,,,,,,,
pubmed_38754116,Construction of the chronic temporomandibular disorder patients: the association between neural and psychological pathways.,2024.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_39768944,Effectiveness of Physical Activity in the Management of Nonspecific Low Back Pain: A Systematic Review.,2024.0,systematic review,chronic secondary musculoskeletal pain,potential integrative signal,none,fear-avoidance | depression,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11678838.txt,,,,,,,,,,,,,,,,,,,,
pubmed_39137213,Is educational attainment associated with the onset and outcomes of low back pain? a systematic review and meta-analysis.,2024.0,meta-analysis,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11321572.txt,,,,,,,,,,,,,,,,,,,,
pubmed_39468650,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.,2024.0,scoping or mapping review,chronic primary pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,fear-avoidance | coping | depression | anxiety | illness perception | stress,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11514884.txt,,,,,,,,,,,,,,,,,,,,
pubmed_35645164,The biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization.,2023.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,vague_definition | tokenistic_bps,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_35990762,Biopsychosocial approach to tendinopathy.,2022.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,none,fear-avoidance | self-efficacy,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9345071.txt,,,,,,,,,,,,,,,,,,,,
pubmed_36278735,Pain Education in the Management of Patients with Chronic Low Back Pain: A Systematic Review.,2022.0,systematic review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,anxiety,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9590060.txt,,,,,,,,,,,,,,,,,,,,
pubmed_33682560,An updated brief overview on post-traumatic headache and a systematic review of the non-pharmacological interventions for its management.,2021.0,systematic review,chronic secondary headache or orofacial pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_34793635,"Religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs, Function, and Coping in Chronic Musculoskeletal Pain: A Systematic Review.",2021.0,systematic review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,coping | acceptance | self-efficacy | cognitions | emotions,biopsychosocial-spiritual model,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_32871946,Effectiveness of walking versus mind-body therapies in chronic low back pain: A systematic review and meta-analysis of recent randomized controlled trials.,2020.0,meta-analysis,chronic secondary musculoskeletal pain,potential integrative signal,missing_biology,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC7458239.txt,,,,,,,,,,,,,,,,,,,,
pubmed_31977935,Physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pain conditions: a systematic review and metasynthesis of qualitative studies.,2020.0,systematic review,chronic secondary musculoskeletal pain,potential integrative signal,none,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_32988440,Six things you need to know about low back pain.,2020.0,narrative or expert review,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_32010899,Group Psychotherapy With Fibromyalgia Patients: A Systematic Review.,2019.0,systematic review,chronic primary pain,pseudo-bps or partial signal,parallel_listing_without_integration | missing_biology,,,high,pmc_fulltext_low_content_manual_check,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6974394.txt,,,,,,,,,,,,,,,,,,,,
pubmed_30594766,Low back pain: Moving toward mechanism-based management.,2019.0,narrative or expert review,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,mechanistic approach,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_31466408,The Evolving Case Supporting Individualised Physiotherapy for Low Back Pain.,2019.0,narrative or expert review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6780711.txt,,,,,,,,,,,,,,,,,,,,
pubmed_30893103,Where has the 'bio' in bio-psycho-social gone?,2019.0,narrative or expert review,chronic postsurgical or posttraumatic pain,pseudo-bps or partial signal,parallel_listing_without_integration,catastrophizing,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_29460009,The Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck pain to low- and middle-income communities.,2018.0,systematic review,chronic secondary musculoskeletal pain,potential integrative signal,none,depression,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_28359011,Diagnostic triage for low back pain: a practical approach for primary care.,2017.0,narrative or expert review,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_28371175,Exercise for chronic musculoskeletal pain: A biopsychosocial approach.,2017.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,none,catastrophizing | anxiety,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_28752491,Predictors of Osteoarthritis Pain: the Importance of Resilience.,2017.0,systematic review,chronic secondary musculoskeletal pain,potential integrative signal,none,resilience,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6335024.txt,,,,,,,,,,,,,,,,,,,,
pubmed_26148424,Current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms.,2016.0,narrative or expert review,chronic primary pain,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,depression | anxiety,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_25953594,Addressing Neuroplastic Changes in Distributed Areas of the Nervous System Associated With Chronic Musculoskeletal Disorders.,2015.0,systematic review,chronic secondary musculoskeletal pain,potential integrative signal,none,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_26600874,An update on the management of post-traumatic headache.,2015.0,narrative or expert review,chronic postsurgical or posttraumatic pain,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,anxiety,,high,pmc_fulltext_low_content_manual_check,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.txt,,,,,,,,,,,,,,,,,,,,
pubmed_24405725,"Are depression, anxiety and poor mental health risk factors for knee pain? A systematic review.",2014.0,systematic review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | anxiety,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3907141.txt,,,,,,,,,,,,,,,,,,,,
pubmed_24966693,Chronic musculoskeletal pain: review of mechanisms and biochemical biomarkers as assessed by the microdialysis technique.,2014.0,narrative or expert review,chronic secondary musculoskeletal pain,multifactorial signal,none,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4062547.txt,,,,,,,,,,,,,,,,,,,,
pubmed_22435173,"A critical review of Dr. Charles S. Greene's article titled ""Managing the Care of Patients with Temporomandibular Disorders: a new Guideline for Care"" and a revision of the American Association for Dental Research's 1996 policy statement on temporomandibular disorders, approved by the AADR Council in March 2010, published in the Journal of the American Dental Association September 2010.",2012.0,meta-analysis,chronic secondary headache or orofacial pain,rhetorical label signal,tokenistic_bps | vague_definition,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_22814445,A neuroscience approach to managing athletes with low back pain.,2012.0,systematic review,chronic secondary musculoskeletal pain,potential integrative signal,none,pain experience,neuroscience,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_23218435,Improving work participation for adults with musculoskeletal conditions.,2012.0,narrative or expert review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_21373784,Joint hypermobility syndrome: problems that require psychological intervention.,2011.0,narrative or expert review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | anxiety | stress,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_19160209,WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,2009.0,systematic review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,pmc_fulltext_low_content_manual_check,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10734264.txt,,,,,,,,,,,,,,,,,,,,
pubmed_17350550,Management of musculoskeletal pain.,2007.0,narrative or expert review,chronic secondary musculoskeletal pain,multifactorial signal,none,depression,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_17420400,The impact of neuropathic pain on health-related quality of life: review and implications.,2007.0,meta-analysis,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_17149465,Back injuries--getting injured workers back to work.,2006.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,missing_biology,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_16968689,Preventing incapacity in people with musculoskeletal disorders.,2006.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,none,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_12948346,Psychosocial therapies for neck pain.,2003.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,missing_biology,stress | cognitive-behavioral therapy | pain-related thoughts | emotions,medical model,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_12720511,The management of persistent pain.,2003.0,narrative or expert review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_11762878,Determinants of chronic disability related to low back pain: towards an integrative biopsychosocial model.,2001.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,none,coping | stress,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_10908542,Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,2000.0,systematic review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_11092802,The biopsychosocial model--a tool for rheumatologists.,2000.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,missing_biology,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_8940956,Chronic pelvic pain.,1996.0,narrative or expert review,chronic secondary visceral pain,potential integrative signal,none,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_8842824,The biopsychosocial disease consequence model in rehabilitation: model development in the Finnish 'work hardening' programme for chronic pain.,1996.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,missing_biology,functioning,biopsychosocial disease consequence model,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_7866373,Pain and suffering: what is the unit?,1994.0,narrative or expert review,chronic secondary musculoskeletal pain,multifactorial signal,missing_biology,anxiety,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_1477890,Biopsychosocial analysis of low back pain.,1992.0,narrative or expert review,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_2094850,A biopsychosocial approach to TMJ pain--or looking for keys in the dark.,1990.0,narrative or expert review,chronic secondary musculoskeletal pain,potential integrative signal,none,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_37575343,Evaluation and Medical Management of Chronic Pelvic Pain.,2023.0,systematic review,chronic secondary visceral pain,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,low,pmc_fulltext_low_content_manual_check,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10415055.txt,,,,,,,,,,,,,,,,,,,,
pubmed_30520741,Pain therapy for the elderly patient: is opioid-free an option?,2019.0,narrative or expert review,mixed or unspecified chronic pain,rhetorical label signal,tokenistic_bps | vague_definition,,,low,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_27351769,Clinical biopsychosocial physiotherapy assessment of patients with chronic pain: The first step in pain neuroscience education.,2016.0,narrative or expert review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,low,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_23314014,Evidence-based approach to manage persistent wound-related pain.,2013.0,narrative or expert review,mixed or unspecified chronic pain,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,depression,,low,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_41271285,Dual Experience and Management of Pain in Older Adults and Their Caregivers.,2026.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,missing_biology,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_40101218,Chronic pain in European adult populations: a systematic review of prevalence and associated clinical features.,2025.0,systematic review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11921450.txt,,,,,,,,,,,,,,,,,,,,
pubmed_41268985,Existential therapy for treating chronic pain: A scoping review.,2025.0,scoping or mapping review,mixed or unspecified chronic pain,pseudo-bps or partial signal,missing_biology | parallel_listing_without_integration | mechanistic_absence,coping,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12637014.txt,,,,,,,,,,,,,,,,,,,,
pubmed_39629040,Deciphering pain: molecular mechanisms and neurochemical pathways-challenges and future opportunities.,2024.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11613041.txt,,,,,,,,,,,,,,,,,,,,
pubmed_38470686,Etiologic Factors of Temporomandibular Disorders: A Systematic Review of Literature Containing Diagnostic Criteria for Temporomandibular Disorders (DC/TMD) and Research Diagnostic Criteria for Temporomandibular Disorders (RDC/TMD) from 2018 to 2022.,2024.0,systematic review,chronic secondary headache or orofacial pain,rhetorical label signal,tokenistic_bps | vague_definition | missing_biology,depression | anxiety | stress,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10931313.txt,,,,,,,,,,,,,,,,,,,,
pubmed_38132273,Clinical Diagnosis and Treatment of Chronic Pain.,2023.0,narrative or expert review,mixed or unspecified chronic pain,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10743062.txt,,,,,,,,,,,,,,,,,,,,
pubmed_36527589,"The Experience of BIPOC Living with Chronic Pain in the USA: Biopsychosocial Factors that Underlie Racial Disparities in Pain Outcomes, Comorbidities, Inequities, and Barriers to Treatment.",2023.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,stress,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10683048.txt,,,,,,,,,,,,,,,,,,,,
pubmed_36706441,Top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain Management for Persistent Pain.,2023.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,missing_biology,,,medium,pmc_fulltext_low_content_manual_check,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10398738.txt,,,,,,,,,,,,,,,,,,,,
pubmed_35434749,Toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems.,2022.0,narrative or expert review,mixed or unspecified chronic pain,rhetorical label signal,tokenistic_bps | vague_definition,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_33563380,"Pain Management in Neurosurgery: Back and Lower Extremity Pain, Trigeminal Neuralgia.",2021.0,narrative or expert review,mixed or unspecified chronic pain,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_31878346,Acupuncture for the Relief of Chronic Pain: A Synthesis of Systematic Reviews.,2019.0,systematic review,mixed or unspecified chronic pain,rhetorical label signal,tokenistic_bps | vague_definition,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC7023333.txt,,,,,,,,,,,,,,,,,,,,
pubmed_29729787,Key Components of Pain Management for Children and Adults with Sickle Cell Disease.,2018.0,narrative or expert review,mixed or unspecified chronic pain,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,psychosocial comorbidities,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6800257.txt,,,,,,,,,,,,,,,,,,,,
pubmed_29494401,Neuroimaging of Pain: Human Evidence and Clinical Relevance of Central Nervous System Processes and Modulation.,2018.0,narrative or expert review,mixed or unspecified chronic pain,rhetorical label signal,tokenistic_bps | vague_definition,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC5953782.txt,,,,,,,,,,,,,,,,,,,,
pubmed_28947182,"Pain, aging and dementia: Towards a biopsychosocial model.",2018.0,systematic review,mixed or unspecified chronic pain,pseudo-bps or partial signal,missing_social,depression,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_27902569,Individual differences in pain: understanding the mosaic that makes pain personal.,2017.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,catastrophizing | stress,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC5350021.txt,,,,,,,,,,,,,,,,,,,,
pubmed_27023418,Acute analgesic effects of nicotine and tobacco in humans: a meta-analysis.,2016.0,meta-analysis,mixed or unspecified chronic pain,rhetorical label signal,tokenistic_bps | vague_definition,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4912401.txt,,,,,,,,,,,,,,,,,,,,
pubmed_27496639,Allogeneic stem cell transplantation for sickle cell disease.,2016.0,narrative or expert review,mixed or unspecified chronic pain,rhetorical label signal,tokenistic_bps | vague_definition,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC5130409.txt,,,,,,,,,,,,,,,,,,,,
pubmed_26614718,Biopsychosocial Approach to Assessing and Managing Patients with Chronic Pain.,2016.0,narrative or expert review,mixed or unspecified chronic pain,rhetorical label signal,vague_definition | tokenistic_bps | missing_biology,depression,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_26889614,Chronic Pain Following Motor Vehicle Collision: A Systematic Review of Outcomes Associated With Seeking or Receiving Compensation.,2016.0,systematic review,chronic postsurgical or posttraumatic pain,potential integrative signal,missing_biology,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_26614715,"Chronic Pain Management: An Overview of Taxonomy, Conditions Commonly Encountered, and Assessment.",2016.0,narrative or expert review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,psychological impact,central sensitization,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_27344405,"Chronic Pain and Mental Health Disorders: Shared Neural Mechanisms, Epidemiology, and Treatment.",2016.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,fear-avoidance | depression | anxiety | acceptance | substance use | suicide,fear-avoidance model,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_27325001,Chronic/Persistent Idiopathic Facial Pain.,2016.0,systematic review,chronic secondary headache or orofacial pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,depression,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_27246519,Reward deficiency and anti-reward in pain chronification.,2016.0,systematic review,mixed or unspecified chronic pain,potential integrative signal,none,depression | anxiety | stress,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_24602442,Adherence monitoring with chronic opioid therapy for persistent pain: a biopsychosocial-spiritual approach to mitigate risk.,2014.0,systematic review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,depression | anxiety,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3950820.txt,,,,,,,,,,,,,,,,,,,,
pubmed_26096090,How to investigate: Chronic pain.,2014.0,narrative or expert review,mixed or unspecified chronic pain,rhetorical label signal,tokenistic_bps | vague_definition | missing_biology,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_24716562,"Pediatric IBS: an overview on pathophysiology, diagnosis and treatment.",2014.0,narrative or expert review,chronic secondary visceral pain,potential integrative signal,none,coping,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_24080806,The importance of psychological assessment in chronic pain.,2013.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,,,medium,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4295636.txt,,,,,,,,,,,,,,,,,,,,
pubmed_22406986,Medically unexplained symptoms and pain: misunderstanding and myth.,2012.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,depression | stress,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_20425201,"Unravelling the mystery of pain, suffering, and relief with brain imaging.",2010.0,narrative or expert review,mixed or unspecified chronic pain,pseudo-bps or partial signal,missing_social,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_19418887,Early stress response: a vulnerability framework for functional impairment following mild traumatic brain injury.,2009.0,narrative or expert review,mixed or unspecified chronic pain,multifactorial signal,none,stress,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_18235536,Chronic nonmalignant pain: a challenge for patients and clinicians.,2008.0,narrative or expert review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,maladaptive beliefs,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_17592957,The biopsychosocial approach to chronic pain: scientific advances and future directions.,2007.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,psychosocial factors,neuroscience,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_12421777,Prevention of chronic pain after whiplash.,2002.0,narrative or expert review,chronic postsurgical or posttraumatic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,medium,pmc_fulltext_low_content_manual_check,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC1756295.txt,,,,,,,,,,,,,,,,,,,,
pubmed_11858295,Care of the patient with chronic pain: part II.,2000.0,narrative or expert review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_10870733,Pain and suffering.,2000.0,narrative or expert review,mixed or unspecified chronic pain,rhetorical label signal,vague_definition | tokenistic_bps,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_10711057,Care of the patient with chronic pain: Part I.,1999.0,narrative or expert review,mixed or unspecified chronic pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_10635197,From bite to mind: TMD--a personal and literature review.,1999.0,narrative or expert review,chronic secondary headache or orofacial pain,potential integrative signal,none,stress,,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_9927896,Psychiatric problems in chronic facial pain.,1998.0,narrative or expert review,chronic secondary headache or orofacial pain,rhetorical label signal,tokenistic_bps | vague_definition | missing_biology,suffering,biopsychosocial model,medium,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
